x	y1	y2	y3	y4	y5
-2.13	0.082559061	0.081189752	0.04127953	0.001369309	6.59E-19
-2.12	0.084332214	0.082898311	0.042166107	0.001433903	9.50E-19
-2.11	0.086134836	0.084633576	0.043067418	0.001501259	1.37E-18
-2.1	0.087967192	0.086395709	0.043983596	0.001571483	1.96E-18
-2.09	0.089829545	0.088184865	0.044914772	0.00164468	2.82E-18
-2.08	0.091722153	0.090001191	0.045861076	0.001720961	4.03E-18
-2.07	0.093645271	0.09184483	0.046822635	0.00180044	5.77E-18
-2.06	0.09559915	0.093715916	0.047799575	0.001883234	8.23E-18
-2.05	0.097584037	0.095614575	0.048792019	0.001969462	1.17E-17
-2.04	0.099600175	0.097540926	0.049800088	0.00205925	1.67E-17
-2.03	0.101647803	0.099495078	0.050823901	0.002152725	2.37E-17
-2.02	0.103727153	0.101477136	0.051863577	0.002250018	3.36E-17
-2.01	0.105838455	0.103487191	0.052919228	0.002351264	4.75E-17
-2	0.107981933	0.10552533	0.053990967	0.002456603	6.72E-17
-1.99	0.110157805	0.107591627	0.055078902	0.002566178	9.48E-17
-1.98	0.112366284	0.10968615	0.056183142	0.002680134	1.33E-16
-1.97	0.114607578	0.111808954	0.057303789	0.002798624	1.88E-16
-1.96	0.116881889	0.113960087	0.058440944	0.002921801	2.63E-16
-1.95	0.119189412	0.116139586	0.059594706	0.003049826	3.69E-16
-1.94	0.121530338	0.118347477	0.060765169	0.003182861	5.16E-16
-1.93	0.123904849	0.120583776	0.061952425	0.003321074	7.21E-16
-1.92	0.126313123	0.122848487	0.063156561	0.003464636	1.00E-15
-1.91	0.128755329	0.125141603	0.064377664	0.003613725	1.40E-15
-1.9	0.13123163	0.127463109	0.065615815	0.003768521	1.94E-15
-1.89	0.133742181	0.129812972	0.066871091	0.003929209	2.70E-15
-1.88	0.136287132	0.132191153	0.068143566	0.004095979	3.73E-15
-1.87	0.138866623	0.134597598	0.069433312	0.004269025	5.16E-15
-1.86	0.141480787	0.13703224	0.070740393	0.004448547	7.12E-15
-1.85	0.144129749	0.139495001	0.072064874	0.004634748	9.81E-15
-1.84	0.146813625	0.141985788	0.073406813	0.004827837	1.35E-14
-1.83	0.149532525	0.144504498	0.074766262	0.005028027	1.85E-14
-1.82	0.152286547	0.147051012	0.076143274	0.005235536	2.54E-14
-1.81	0.155075784	0.149625197	0.077537892	0.005450587	3.48E-14
-1.8	0.157900317	0.152226908	0.078950158	0.005673409	4.75E-14
-1.79	0.160760218	0.154855985	0.080380109	0.005904233	6.48E-14
-1.78	0.163655552	0.157512253	0.081827776	0.006143299	8.83E-14
-1.77	0.166586372	0.160195524	0.083293186	0.006390848	1.20E-13
-1.76	0.169552723	0.162905594	0.084776361	0.006647129	1.63E-13
-1.75	0.172554638	0.165642244	0.086277319	0.006912393	2.21E-13
-1.74	0.175592141	0.168405241	0.087796071	0.0071869	2.99E-13
-1.73	0.178665247	0.171194335	0.089332623	0.007470912	4.03E-13
-1.72	0.181773958	0.174009262	0.090886979	0.007764697	5.44E-13
-1.71	0.184918267	0.17684974	0.092459133	0.008068527	7.32E-13
-1.7	0.188098155	0.179715473	0.094049077	0.008382681	9.84E-13
-1.69	0.191313592	0.18260615	0.095656796	0.008707443	1.32E-12
-1.68	0.194564539	0.18552144	0.097282269	0.009043099	1.77E-12
-1.67	0.197850941	0.188460999	0.098925471	0.009389943	2.36E-12
-1.66	0.201172737	0.191424464	0.100586368	0.009748273	3.16E-12
-1.65	0.204529849	0.194411457	0.102264925	0.010118392	4.20E-12
-1.64	0.207922191	0.197421583	0.103961095	0.010500608	5.59E-12
-1.63	0.211349662	0.200454428	0.105674831	0.010895233	7.43E-12
-1.62	0.21481215	0.203509564	0.107406075	0.011302586	9.85E-12
-1.61	0.218309532	0.206586544	0.109154766	0.011722988	1.30E-11
-1.6	0.221841669	0.209684903	0.110920835	0.012156766	1.72E-11
-1.59	0.225408413	0.21280416	0.112704207	0.012604253	2.27E-11
-1.58	0.2290096	0.215943817	0.1145048	0.013065784	3.00E-11
-1.57	0.232645056	0.219103356	0.116322528	0.0135417	3.94E-11
-1.56	0.23631459	0.222282244	0.118157295	0.014032346	5.17E-11
-1.55	0.240018001	0.225479929	0.120009001	0.014538072	6.78E-11
-1.54	0.243755074	0.228695843	0.121877537	0.015059232	8.87E-11
-1.53	0.247525579	0.231929397	0.12376279	0.015596182	1.16E-10
-1.52	0.251329273	0.235179989	0.125664637	0.016149285	1.51E-10
-1.51	0.255165901	0.238446994	0.127582951	0.016718907	1.97E-10
-1.5	0.259035191	0.241729775	0.129517596	0.017305416	2.56E-10
-1.49	0.262936859	0.245027673	0.13146843	0.017909186	3.32E-10
-1.48	0.266870607	0.248340014	0.133435304	0.018530594	4.30E-10
-1.47	0.270836123	0.251666105	0.135418062	0.019170018	5.56E-10
-1.46	0.274833078	0.255005236	0.137416539	0.019827843	7.17E-10
-1.45	0.278861132	0.25835668	0.139430566	0.020504453	9.25E-10
-1.44	0.282919929	0.261719693	0.141459965	0.021200237	1.19E-09
-1.43	0.2870091	0.265093514	0.143504551	0.021915587	1.53E-09
-1.42	0.291128258	0.268477363	0.14556413	0.022650897	1.96E-09
-1.41	0.295277006	0.271870447	0.147638504	0.023406562	2.51E-09
-1.4	0.299454928	0.275271951	0.149727466	0.02418298	3.21E-09
-1.39	0.303661597	0.27868105	0.1518308	0.024980551	4.10E-09
-1.38	0.307896568	0.282096897	0.153948287	0.025799677	5.22E-09
-1.37	0.312159384	0.285518631	0.156079696	0.02664076	6.64E-09
-1.36	0.316449572	0.288945377	0.15822479	0.027504203	8.43E-09
-1.35	0.320766644	0.292376242	0.160383327	0.028390412	1.07E-08
-1.34	0.325110097	0.295810318	0.162555055	0.029299792	1.35E-08
-1.33	0.329479414	0.299246683	0.164739715	0.030232748	1.71E-08
-1.32	0.333874062	0.302684398	0.166937042	0.031189685	2.16E-08
-1.31	0.338293495	0.306122512	0.169146761	0.03217101	2.72E-08
-1.3	0.34273715	0.309560059	0.171368592	0.033177126	3.42E-08
-1.29	0.347204451	0.312996057	0.173602247	0.034208437	4.29E-08
-1.28	0.351694807	0.316429514	0.17584743	0.035265347	5.37E-08
-1.27	0.356207611	0.319859422	0.178103839	0.036348256	6.72E-08
-1.26	0.360742242	0.323284762	0.180371163	0.037457564	8.40E-08
-1.25	0.365298066	0.326704502	0.182649085	0.038593669	1.05E-07
-1.24	0.369874432	0.330117597	0.184937281	0.039756965	1.30E-07
-1.23	0.374470674	0.333522992	0.187235418	0.040947844	1.62E-07
-1.22	0.379086115	0.336919621	0.189543158	0.042166695	2.01E-07
-1.21	0.38372006	0.340306406	0.191860155	0.043413903	2.49E-07
-1.2	0.388371802	0.343682259	0.194186055	0.044689851	3.08E-07
-1.19	0.393040617	0.347046084	0.196520499	0.045994914	3.80E-07
-1.18	0.39772577	0.350396774	0.198863119	0.047329465	4.69E-07
-1.17	0.402426508	0.353733213	0.201213543	0.048693872	5.77E-07
-1.16	0.407142067	0.35705428	0.203571388	0.050088497	7.09E-07
-1.15	0.411871667	0.360358842	0.205936269	0.051513695	8.70E-07
-1.14	0.416614515	0.363645763	0.20830779	0.052969817	1.07E-06
-1.13	0.421369801	0.366913898	0.210685552	0.054457206	1.30E-06
-1.12	0.426136703	0.370162096	0.213069147	0.055976197	1.59E-06
-1.11	0.430914385	0.373389204	0.215458162	0.057527119	1.94E-06
-1.1	0.435701996	0.376594061	0.217852177	0.059110293	2.36E-06
-1.09	0.440498669	0.379775502	0.220250767	0.060726031	2.86E-06
-1.08	0.445303523	0.382932361	0.222653499	0.062374637	3.47E-06
-1.07	0.450115664	0.386063467	0.225059935	0.064056403	4.21E-06
-1.06	0.454934181	0.389167649	0.227469632	0.065771616	5.08E-06
-1.05	0.459758145	0.392243733	0.229882141	0.067520549	6.14E-06
-1.04	0.464586617	0.395290544	0.232297005	0.069303465	7.39E-06
-1.03	0.469418635	0.398306909	0.234713764	0.071120619	8.89E-06
-1.02	0.474253225	0.401291653	0.237131952	0.072972251	1.07E-05
-1.01	0.479089391	0.404243606	0.239551098	0.07485859	1.28E-05
-1	0.483926122	0.407161596	0.241970725	0.076779853	1.53E-05
-0.99	0.488762385	0.410044456	0.244390351	0.078736246	1.83E-05
-0.98	0.493597126	0.412891023	0.246809491	0.080727958	2.19E-05
-0.97	0.498429272	0.415700137	0.249227652	0.082755168	2.60E-05
-0.96	0.503257721	0.418470645	0.251644341	0.084818037	3.10E-05
-0.95	0.508081352	0.421201397	0.254059056	0.086916716	3.68E-05
-0.94	0.512899011	0.423891252	0.256471294	0.089051337	4.36E-05
-0.93	0.517709519	0.426539074	0.258880547	0.091222019	5.16E-05
-0.92	0.522511662	0.429143739	0.261286301	0.093428864	6.09E-05
-0.91	0.527304193	0.431704127	0.263688042	0.095671957	7.19E-05
-0.9	0.532085827	0.434219131	0.26608525	0.097951369	8.47E-05
-0.89	0.536855237	0.436687653	0.268477402	0.100267151	9.96E-05
-0.88	0.541611053	0.439108606	0.270863972	0.102619337	0.00011689
-0.87	0.546351853	0.441480917	0.273244431	0.105007945	0.000137009
-0.86	0.551076163	0.443803522	0.275618247	0.107432973	0.000160331
-0.85	0.55578245	0.446075373	0.277984886	0.109894399	0.000187322
-0.84	0.560469115	0.448295437	0.280343811	0.112392185	0.000218507
